name,player_hr_rate,barrel_rate,recent_hr_rate,recent_barrel_rate,hr_vs_R,hr_vs_L,barrel_vs_R,barrel_vs_L,recent_hr_rate_vs_R,recent_hr_rate_vs_L,recent_barrel_rate_vs_R,recent_barrel_rate_vs_L,stand,team
Joey Wiemer,0.0566,0.0741,0.0526,0.0833,0.0,0.1111,0.0,0.1538,0.0,0.1111,0.0,0.1538,R,Washington Nationals
Patrick Bailey,0.0159,0.0241,0.04,0.0294,0.0,0.1667,0.0133,0.125,0.0,0.25,0.0,0.1429,S,San Francisco Giants
Amed Rosario,0.069,0.0769,0.0571,0.0816,0.069,0.069,0.0789,0.075,0.0,0.0952,0.0476,0.1071,R,New York Yankees
Kyle Isbel,0.0423,0.0455,0.0303,0.0238,0.0517,0.0,0.0533,0.0,0.0357,0.0,0.027,0.0,L,Kansas City Royals
Daylen Lile,0.0254,0.0325,0.0526,0.0625,0.0353,0.0,0.0472,0.0,0.0714,0.0,0.0943,0.0,L,Washington Nationals
Ildemaro Vargas,0.0685,0.0568,0.093,0.0556,0.0217,0.1481,0.0,0.1562,0.0323,0.25,0.0,0.2143,S,Arizona Diamondbacks
Nolan Schanuel,0.0278,0.0144,0.0192,0.013,0.0256,0.0333,0.0103,0.0238,0.0,0.0417,0.0,0.0286,L,Los Angeles Angels
Brett Baty,0.0125,0.0392,0.0323,0.0294,0.0141,0.0,0.043,0.0,0.0357,0.0,0.0294,0.0,L,New York Mets
Jahmai Jones,0.0714,0.0789,0.1111,0.1304,0.0,0.0833,0.0,0.0938,0.0,0.1111,0.0,0.1304,R,Detroit Tigers
Ryan Jeffers,0.04,0.0556,0.0606,0.0588,0.0556,0.0256,0.0556,0.0556,0.1333,0.0,0.1429,0.0,R,Minnesota Twins
Brandon Marsh,0.0444,0.0403,0.0465,0.0312,0.0563,0.0,0.0521,0.0,0.0667,0.0,0.0426,0.0,L,Philadelphia Phillies
Gavin Sheets,0.038,0.0265,0.0286,0.0217,0.0417,0.0,0.0283,0.0,0.0303,0.0,0.0227,0.0,L,San Diego Padres
Evan Carter,0.0316,0.0459,0.0392,0.0556,0.0366,0.0,0.0526,0.0,0.0444,0.0,0.0652,0.0,L,Texas Rangers
Tristan Gray,0.06,0.0462,0.0741,0.0645,0.0541,0.0769,0.037,0.0909,0.05,0.1429,0.0385,0.2,L,Minnesota Twins
Carlos Narváez,0.0167,0.0581,0.0345,0.0488,0.02,0.0,0.0725,0.0,0.0417,0.0,0.0625,0.0,R,Boston Red Sox
Carson Benge,0.025,0.0259,0.0286,0.0408,0.0299,0.0,0.0319,0.0,0.0323,0.0,0.0444,0.0,L,New York Mets
Shea Langeliers,0.0714,0.0658,0.05,0.0732,0.0575,0.12,0.0579,0.0968,0.0444,0.0667,0.0625,0.1111,R,Athletics
José Caballero,0.0225,0.009,0.04,0.0154,0.0,0.0571,0.0,0.0208,0.0,0.0833,0.0,0.0323,R,New York Yankees
Braden Shewmake,0.5,0.3333,0.5,0.3333,1.0,0.0,0.5,0.25,1.0,0.0,0.5,0.25,L,Houston Astros
Adley Rutschman,0.0625,0.0448,0.3333,0.125,0.0606,0.0667,0.0638,0.0,0.5,0.2,0.25,0.0,S,Baltimore Orioles
Carlos Cortes,0.0645,0.0833,0.0889,0.1013,0.0678,0.0,0.087,0.0,0.0952,0.0,0.1067,0.0,L,Athletics
Dylan Beavers,0.0267,0.0297,0.025,0.0345,0.0308,0.0,0.0353,0.0,0.0278,0.0,0.0377,0.0,L,Baltimore Orioles
Angel Martínez,0.0625,0.0519,0.0976,0.0694,0.0741,0.0385,0.0667,0.0222,0.1071,0.0769,0.0769,0.05,S,Cleveland Guardians
Jonathan Aranda,0.0536,0.053,0.0588,0.0508,0.0625,0.0312,0.0574,0.0345,0.0857,0.0,0.0652,0.0,L,Tampa Bay Rays
Zack Gelof,0.0476,0.05,0.0476,0.05,0.0714,0.0,0.0714,0.0,0.0714,0.0,0.0714,0.0,R,Athletics
Javier Báez,0.0263,0.0185,0.0256,0.0182,0.0169,0.0588,0.0118,0.0435,0.0,0.0625,0.0,0.05,R,Detroit Tigers
Wilyer Abreu,0.0388,0.0429,0.02,0.0423,0.0533,0.0,0.04,0.05,0.0286,0.0,0.06,0.0,L,Boston Red Sox
Konnor Griffin,0.013,0.0309,0.0192,0.0484,0.0172,0.0,0.0429,0.0,0.0244,0.0,0.0652,0.0,R,Pittsburgh Pirates
Connor Norby,0.0333,0.0348,0.0444,0.0345,0.0462,0.0,0.026,0.0526,0.0526,0.0,0.0426,0.0,R,Miami Marlins
Nathaniel Lowe,0.0513,0.0577,0.0833,0.0938,0.0588,0.0,0.0638,0.0,0.1,0.0,0.1034,0.0,L,Cincinnati Reds
Kazuma Okamoto,0.0396,0.0603,0.0435,0.0702,0.0494,0.0,0.0769,0.0,0.05,0.0,0.08,0.0,R,Toronto Blue Jays
